col1,col2,col3,col4,col5
L1,3080910,021BIQUEIRA,021_BIQ-1,BIQUEIRA-1
L2,3080910,022BIQUEIRA,022_BIQ-2,BIQUEIRA-2
L3,3080910,023BIQUEIRA,023_BIQ-3,BIQUEIRA-3
L4,3080910,024BIQUEIRA,024_BIQ-4,BIQUEIRA-4
L5,3080910,025BIQUEIRA,025_BIQ-5,BIQUEIRA-5
L6,3060908,026GASPEA,026_GAS-1,GASPEA-1
L7,3060908,027GASPEA,027_GAS-2,GASPEA-2
L8,3060908,028GASPEA,028_GAS-3,GASPEA-3
L9,3060908,029GASPEA,029_GAS-4,GASPEA-4
L10,3060908,030GASPEA,030_GAS-5,GASPEA-5
L11,3060400,031GASPEA,031_,
L12,3060400,032GASPEA,032_,
L13,3060400,033GASPEA,033_,
L14,3060400,034GASPEA,034_,
L15,3061317,035GASPEA,035_GAS+LIN-1,GASPEA+LINGUETA-1
L16,3061317,036GASPEA,036_GAS+LIN-2,GASPEA+LINGUETA-2
L17,3060400,037GASPEA,037_,
L18,3061314,038GASPEA,038_GAS+VIS-1,GASPEA+VISTA-1
L19,3061314,039GASPEA,039_GAS+VIS-2,GASPEA+VISTA-2
L20,3060400,040GASPEA,040_,
L21,3061317,041GASPEA,041_GAS+ETI-1,GASPEA+ETIQUETA-1
L22,3061317,042GASPEA,042_GAS+ETI-2,GASPEA+ETIQUETA-2
L23,3060400,043GASPEA,043_,
L24,3061317,044GASPEA,044_GAS+TRA-1,GASPEA+TRASEIRO-1
L25,3061317,045GASPEA,045_GAS+TRA-2,GASPEA+TRASEIRO-2
L26,3060400,046GASPEA,046_,
L27,3080910,047LINGUETA,047_LIN-1,LINGUETA-1
L28,3080910,048LINGUETA,048_LIN-2,LINGUETA-2
L29,3080910,049LINGUETA,049_LIN-3,LINGUETA-3
L30,3080400,050LINGUETA,050_,
L31,3081319,051LINGUETA,051_LIN-INF-1,LINGUETA INFERIOR-1
L32,3081319,052LINGUETA,052_LIN-INF-2,LINGUETA INFERIOR-2
L33,3080400,053LINGUETA,053_,
L34,3081319,054LINGUETA,054_LIN-SUP-1,LINGUETA SUPERIOR-1
L35,3081319,055LINGUETA,055_LIN-SUP-2,LINGUETA SUPERIOR-2
L36,3080400,056LINGUETA,056_,
L37,3080400,057LINGUETA,057_,
L38,3050907,058VISTA,058_VIS-1,VISTA-1
L39,3050907,059VISTA,059_VIS-2,VISTA-2
L40,3050400,060VISTA,060_,
L41,3051315,061VISTA,061_VIS-EXT-1,VISTA EXTERNA-1
L42,3051315,062VISTA,062_VIS-INT-1,VISTA INTERNA-1
L43,3051315,063VISTA,063_VIS-EXT-2,VISTA EXTERNA-2
L44,3051315,064VISTA,064_VIS-INT-2,VISTA INTERNA-2
L45,3050400,065VISTA,065_,
L46,3050400,066VISTA,066_,
L47,3051415,067VISTA,067_VIS-CENT-1,VISTA CENTRAL-1
L48,3051415,068VISTA,068_VIS-CENT-2,VISTA CENTRAL-2
L49,3050400,069VISTA,069_,
L50,3051316,070VISTA,070_VIS-SUP-1,VISTA SUPERIOR-1
L51,3051316,071VISTA,071_VIS-SUP-2,VISTA SUPERIOR-2
L52,3050400,072VISTA,072_,
L53,3070909,073LATERAL,073_LAT-1,LATERAL-1
L54,3070909,074LATERAL,074_LAT-2,LATERAL-2
L55,3070400,075LATERAL,075_,
L56,3071317,076LATERAL,076_LAT-EXT-1,LATERAL EXTERNA-1
L57,3071317,077LATERAL,077_LAT-INT-1,LATERAL INTERNA-1
L58,3071317,078LATERAL,078_LAT-EXT-2,LATERAL EXTERNA-2
L59,3071317,079LATERAL,079_LAT-INT-2,LATERAL INTERNA-2
L60,3071317,080LATERAL,080_LAT-EXT-3,LATERAL EXTERNA-3
L61,3071317,081LATERAL,081_LAT-INT-3,LATERAL INTERNA-3
L62,3071317,082LATERAL,082_LAT-EXT-4,LATERAL EXTERNA-4
L63,3071317,083LATERAL,083_LAT-INT-4,LATERAL INTERNA-4
L64,3071317,084LATERAL,084_LAT-EXT-5,LATERAL EXTERNA-5
L65,3071317,085LATERAL,085_LAT-INT-5,LATERAL INTERNA-5
L66,3040906,086TIRA,086_TIR-1,TIRA-1
L67,3040906,087TIRA,087_TIR-2,TIRA-2
L68,3040906,088TIRA,088_TIR-3,TIRA-3
L69,3040400,089TIRA,089_,
L70,3041314,090TIRA,090_TIR-EXT-1,TIRA EXTERNA-1
L71,3041314,091TIRA,091_TIR-INT-1,TIRA INTERNA-1
