L1;03080910;021BIQUEIRA;021_BIQ-1;BIQUEIRA-1
L2;03080910;022BIQUEIRA;022_BIQ-2;BIQUEIRA-2
L3;03080910;023BIQUEIRA;023_BIQ-3;BIQUEIRA-3
L4;03080910;024BIQUEIRA;024_BIQ-4;BIQUEIRA-4
L5;03080910;025BIQUEIRA;025_BIQ-5;BIQUEIRA-5
L6;03060908;026GASPEA;026_GAS-1;GASPEA-1
L7;03060908;027GASPEA;027_GAS-2;GASPEA-2
L8;03060908;028GASPEA;028_GAS-3;GASPEA-3
L9;03060908;029GASPEA;029_GAS-4;GASPEA-4
L10;03060908;030GASPEA;030_GAS-5;GASPEA-5
L11;03060400;031GASPEA;031_;
L12;03060400;032GASPEA;032_;
L13;03060400;033GASPEA;033_;
L14;03060400;034GASPEA;034_;
L15;03061317;035GASPEA;035_GAS+LIN-1;GASPEA+LINGUETA-1
L16;03061317;036GASPEA;036_GAS+LIN-2;GASPEA+LINGUETA-2
L17;03060400;037GASPEA;037_;
L18;03061314;038GASPEA;038_GAS+VIS-1;GASPEA+VISTA-1
L19;03061314;039GASPEA;039_GAS+VIS-2;GASPEA+VISTA-2
L20;03060400;040GASPEA;040_;
L21;03061317;041GASPEA;041_GAS+ETI-1;GASPEA+ETIQUETA-1
L22;03061317;042GASPEA;042_GAS+ETI-2;GASPEA+ETIQUETA-2
L23;03060400;043GASPEA;043_;
L24;03061317;044GASPEA;044_GAS+TRA-1;GASPEA+TRASEIRO-1
L25;03061317;045GASPEA;045_GAS+TRA-2;GASPEA+TRASEIRO-2
L26;03060400;046GASPEA;046_;
L27;03080910;047LINGUETA;047_LIN-1;LINGUETA-1
L28;03080910;048LINGUETA;048_LIN-2;LINGUETA-2
L29;03080910;049LINGUETA;049_LIN-3;LINGUETA-3
L30;03080400;050LINGUETA;050_;
L31;03081319;051LINGUETA;051_LIN-INF-1;LINGUETA INFERIOR-1
L32;03081319;052LINGUETA;052_LIN-INF-2;LINGUETA INFERIOR-2
L33;03080400;053LINGUETA;053_;
L34;03081319;054LINGUETA;054_LIN-SUP-1;LINGUETA SUPERIOR-1
L35;03081319;055LINGUETA;055_LIN-SUP-2;LINGUETA SUPERIOR-2
L36;03080400;056LINGUETA;056_;
L37;03080400;057LINGUETA;057_;
L38;03050907;058VISTA;058_VIS-1;VISTA-1
L39;03050907;059VISTA;059_VIS-2;VISTA-2
L40;03050400;060VISTA;060_;
L41;03051315;061VISTA;061_VIS-EXT-1;VISTA EXTERNA-1
L42;03051315;062VISTA;062_VIS-INT-1;VISTA INTERNA-1
L43;03051315;063VISTA;063_VIS-EXT-2;VISTA EXTERNA-2
L44;03051315;064VISTA;064_VIS-INT-2;VISTA INTERNA-2
L45;03050400;065VISTA;065_;
L46;03050400;066VISTA;066_;
L47;03051415;067VISTA;067_VIS-CENT-1;VISTA CENTRAL-1
L48;03051415;068VISTA;068_VIS-CENT-2;VISTA CENTRAL-2
